id,po_id,carrier,container_no,planned_departure,planned_arrival,predicted_arrival,predicted_confidence,prediction_basis,current_stage,version,updated_at
430,430,CMA CGM,MAEU3774675,2026-07-14,2026-08-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
431,431,ONE,MAEU4859895,2026-04-29,2026-06-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
432,432,CMA CGM,MAEU6178169,2025-12-15,2026-01-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
433,433,Maersk,MAEU1492117,2026-03-06,2026-04-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
434,434,CMA CGM,MAEU7652119,2026-03-03,2026-04-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
435,435,ONE,MAEU8969889,2026-08-09,2026-09-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
436,436,ONE,MAEU1061158,2026-06-15,2026-07-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
437,437,Evergreen,MAEU3732440,2026-06-29,2026-07-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
438,438,Evergreen,MAEU0868375,2026-06-14,2026-07-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
439,439,Evergreen,MAEU5944214,2026-01-01,2026-02-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
440,440,Evergreen,MAEU9709963,2026-05-09,2026-06-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
441,441,Evergreen,MAEU1343407,2026-08-12,2026-09-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
442,442,ONE,MAEU9753861,2026-04-02,2026-05-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
443,443,ONE,MAEU3799737,2026-02-17,2026-03-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
444,444,ONE,MAEU4609929,2026-01-13,2026-02-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
445,445,ONE,MAEU0476161,2025-09-15,2025-10-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
446,446,ONE,MAEU4482600,2026-03-25,2026-04-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
447,447,ONE,MAEU8284785,2026-08-20,2026-09-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
448,448,Evergreen,MAEU9533520,2026-07-25,2026-08-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
449,449,Maersk,MAEU5300685,2025-11-20,2025-12-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
450,450,Maersk,MAEU6402694,2025-10-18,2025-11-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
451,451,CMA CGM,MAEU9997992,2026-08-10,2026-09-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
452,452,ONE,MAEU3688495,2026-01-06,2026-02-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
453,453,Maersk,MAEU6935354,2026-04-27,2026-05-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
454,454,Maersk,MAEU6338236,2025-12-14,2026-01-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
455,455,Evergreen,MAEU3133112,2026-05-03,2026-06-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
456,456,Evergreen,MAEU5870658,2025-10-14,2025-11-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
457,457,CMA CGM,MAEU3714304,2025-09-28,2025-11-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
458,458,ONE,MAEU0493568,2025-10-14,2025-11-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
459,459,Maersk,MAEU3166740,2026-02-28,2026-03-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
460,460,CMA CGM,MAEU2505891,2026-04-27,2026-06-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
461,461,CMA CGM,MAEU5160784,2026-06-15,2026-07-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
462,462,CMA CGM,MAEU7929024,2026-01-14,2026-02-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
463,463,CMA CGM,MAEU9963329,2025-10-11,2025-11-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
464,464,Evergreen,MAEU6440260,2026-04-24,2026-05-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
465,465,CMA CGM,MAEU9949578,2026-07-09,2026-08-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
466,466,Maersk,MAEU8388360,2026-04-11,2026-05-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
467,467,CMA CGM,MAEU8567107,2026-05-25,2026-07-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
468,468,Evergreen,MAEU4914582,2026-04-27,2026-06-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
469,469,Maersk,MAEU3608744,2025-10-27,2025-11-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
470,470,Maersk,MAEU6153488,2025-10-16,2025-11-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
471,471,ONE,MAEU3252598,2025-11-22,2025-12-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
472,472,ONE,MAEU5574167,2026-06-07,2026-07-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
473,473,Evergreen,MAEU5257590,2026-04-17,2026-05-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
474,474,Maersk,MAEU2494293,2026-03-09,2026-04-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
475,475,CMA CGM,MAEU1949165,2026-08-14,2026-09-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
476,476,Evergreen,MAEU1639629,2026-04-19,2026-05-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
477,477,Maersk,MAEU1277868,2025-09-30,2025-11-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
478,478,Evergreen,MAEU0735089,2026-05-13,2026-06-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
479,479,ONE,MAEU1287614,2026-08-19,2026-09-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
480,480,CMA CGM,MAEU9737065,2026-01-23,2026-03-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
481,481,Evergreen,MAEU3319413,2026-08-07,2026-09-07,2026-09-11,HIGH,"P80 of 33 shipments VNSGN→FC-PAT from CUSTOMS_CLEARED: 5.2 d (P50 3.6 d), milestone on 2026-09-03",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.627738+00
482,482,ONE,MAEU8077363,2026-09-06,2026-10-10,2026-10-09,MEDIUM,"P80 of 34 shipments MYPKG→FC-PAT from DEPARTED_ORIGIN: 32.6 d (P50 29.0 d), milestone on 2026-09-06",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.635835+00
483,483,CMA CGM,MAEU5197472,2026-08-15,2026-09-18,2026-09-13,HIGH,"P80 of 34 shipments MYPKG→FC-PAT from CUSTOMS_CLEARED: 5.9 d (P50 4.1 d), milestone on 2026-09-07",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.640398+00
484,484,Maersk,MAEU1860149,2026-09-19,2026-10-23,2026-10-23,LOW,No milestone received yet; using carrier plan 2026-10-23,BOOKED,1,2026-09-10 09:23:20.31206+00
485,485,ONE,MAEU4711860,2026-09-14,2026-10-18,2026-10-17,MEDIUM,"P80 of 34 shipments MYPKG→FC-PAT from BOOKED: 36.7 d (P50 33.5 d), milestone on 2026-09-10",BOOKED,2,2026-09-10 09:23:25.661885+00
486,486,Evergreen,MAEU2329725,2026-08-27,2026-10-08,2026-10-09,MEDIUM,"P80 of 31 shipments VNSGN→FC-JAX from DEPARTED_ORIGIN: 42.9 d (P50 37.1 d), milestone on 2026-08-27",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.666746+00
487,487,Maersk,MAEU3795692,2026-09-08,2026-10-08,2026-10-07,MEDIUM,"P80 of 47 shipments CNSHA→FC-CAL from DEPARTED_ORIGIN: 28.0 d (P50 24.9 d), milestone on 2026-09-08",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.67403+00
488,488,Maersk,MAEU6038228,2026-09-01,2026-10-08,2026-10-11,MEDIUM,"P80 of 38 shipments MYPKG→FC-CAL from DEPARTED_ORIGIN: 39.1 d (P50 33.6 d), milestone on 2026-09-01",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.679192+00
489,489,Evergreen,MAEU0383666,2026-09-11,2026-10-08,2026-10-10,MEDIUM,"P80 of 49 shipments CNSHA→FC-PAT from BOOKED: 31.9 d (P50 27.9 d), milestone on 2026-09-08",BOOKED,2,2026-09-10 09:23:25.687063+00
490,490,CMA CGM,MAEU3641509,2026-08-25,2026-10-03,2026-10-05,MEDIUM,"P80 of 51 shipments CNSHA→FC-JAX from DEPARTED_ORIGIN: 40.1 d (P50 35.9 d), milestone on 2026-08-25",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.691594+00
491,491,Evergreen,MAEU6951998,2026-08-11,2026-09-19,2026-09-15,HIGH,"P80 of 51 shipments CNSHA→FC-JAX from CUSTOMS_CLEARED: 5.9 d (P50 5.0 d), milestone on 2026-09-09",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.705954+00
492,492,ONE,MAEU9059534,2026-08-23,2026-09-24,2026-09-24,MEDIUM,"P80 of 33 shipments MYPKG→FC-RIC from DEPARTED_ORIGIN: 31.5 d (P50 27.9 d), milestone on 2026-08-23",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.71579+00
493,493,CMA CGM,MAEU1417499,2026-09-14,2026-10-16,2026-10-15,MEDIUM,"P80 of 33 shipments MYPKG→FC-RIC from BOOKED: 36.6 d (P50 32.2 d), milestone on 2026-09-08",BOOKED,2,2026-09-10 09:23:25.726218+00
494,494,Evergreen,MAEU3367271,2026-09-05,2026-10-07,2026-10-07,MEDIUM,"P80 of 33 shipments MYPKG→FC-RIC from DEPARTED_ORIGIN: 31.5 d (P50 27.9 d), milestone on 2026-09-05",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.745312+00
495,495,CMA CGM,MAEU7872119,2026-08-13,2026-09-07,2026-09-11,HIGH,"P80 of 45 shipments CNSHA→FC-RIC from CUSTOMS_CLEARED: 5.0 d (P50 3.9 d), milestone on 2026-08-29",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.759559+00
496,496,Maersk,MAEU7377634,2026-08-05,2026-09-01,2026-09-11,HIGH,"P80 of 49 shipments CNSHA→FC-PAT from CUSTOMS_CLEARED: 5.3 d (P50 4.1 d), milestone on 2026-08-22",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.770869+00
497,497,CMA CGM,MAEU6584741,2026-09-20,2026-11-01,2026-11-01,LOW,No milestone received yet; using carrier plan 2026-11-01,BOOKED,1,2026-09-10 09:23:20.422381+00
498,498,Maersk,MAEU7449527,2026-08-18,2026-09-24,2026-09-27,MEDIUM,"P80 of 38 shipments MYPKG→FC-CAL from DEPARTED_ORIGIN: 39.1 d (P50 33.6 d), milestone on 2026-08-18",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.794668+00
499,499,CMA CGM,MAEU4563713,2026-08-11,2026-09-07,2026-09-11,HIGH,"P80 of 49 shipments CNSHA→FC-PAT from CUSTOMS_CLEARED: 5.3 d (P50 4.1 d), milestone on 2026-08-31",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.815476+00
500,500,Maersk,MAEU5239539,2026-08-15,2026-09-14,2026-09-17,HIGH,"P80 of 47 shipments CNSHA→FC-CAL from ARRIVED_DEST_PORT: 7.8 d (P50 6.2 d), milestone on 2026-09-09",ARRIVED_DEST_PORT,2,2026-09-10 09:23:25.833473+00
501,501,Maersk,MAEU2843965,2026-09-07,2026-10-09,2026-10-09,MEDIUM,"P80 of 33 shipments MYPKG→FC-RIC from DEPARTED_ORIGIN: 31.5 d (P50 27.9 d), milestone on 2026-09-07",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.84947+00
502,502,CMA CGM,MAEU9791697,2026-08-20,2026-09-28,2026-09-30,MEDIUM,"P80 of 51 shipments CNSHA→FC-JAX from DEPARTED_ORIGIN: 40.1 d (P50 35.9 d), milestone on 2026-08-20",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.860698+00
503,503,Evergreen,MAEU7194924,2026-09-07,2026-10-16,2026-10-18,MEDIUM,"P80 of 51 shipments CNSHA→FC-JAX from DEPARTED_ORIGIN: 40.1 d (P50 35.9 d), milestone on 2026-09-07",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.881747+00
504,504,Evergreen,MAEU5691655,2026-08-31,2026-10-07,2026-10-10,MEDIUM,"P80 of 38 shipments MYPKG→FC-CAL from DEPARTED_ORIGIN: 39.1 d (P50 33.6 d), milestone on 2026-08-31",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.902609+00
505,505,ONE,MAEU9111634,2026-08-31,2026-10-14,2026-10-15,MEDIUM,"P80 of 45 shipments MYPKG→FC-JAX from DEPARTED_ORIGIN: 44.0 d (P50 39.2 d), milestone on 2026-08-31",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.918864+00
506,506,Evergreen,MAEU9546066,2026-08-18,2026-09-12,2026-09-10,HIGH,"P80 of 45 shipments CNSHA→FC-RIC from CUSTOMS_CLEARED: 5.0 d (P50 3.9 d), milestone on 2026-09-05",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.930153+00
507,507,Maersk,MAEU5397265,2026-08-09,2026-09-17,2026-09-15,HIGH,"P80 of 51 shipments CNSHA→FC-JAX from CUSTOMS_CLEARED: 5.9 d (P50 5.0 d), milestone on 2026-09-09",CUSTOMS_CLEARED,2,2026-09-10 09:23:25.940247+00
508,508,Maersk,MAEU6997587,2026-08-30,2026-09-26,2026-09-26,MEDIUM,"P80 of 49 shipments CNSHA→FC-PAT from DEPARTED_ORIGIN: 26.1 d (P50 23.0 d), milestone on 2026-08-30",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.963208+00
509,509,Maersk,MAEU7438890,2026-08-19,2026-09-22,2026-09-21,MEDIUM,"P80 of 34 shipments MYPKG→FC-PAT from DEPARTED_ORIGIN: 32.6 d (P50 29.0 d), milestone on 2026-08-19",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.978616+00
510,510,Evergreen,MAEU2626000,2026-09-05,2026-09-30,2026-10-01,MEDIUM,"P80 of 45 shipments CNSHA→FC-RIC from DEPARTED_ORIGIN: 25.9 d (P50 22.2 d), milestone on 2026-09-05",DEPARTED_ORIGIN,2,2026-09-10 09:23:25.99814+00
511,511,CMA CGM,MAEU1852706,2026-08-23,2026-10-01,2026-10-03,MEDIUM,"P80 of 51 shipments CNSHA→FC-JAX from DEPARTED_ORIGIN: 40.1 d (P50 35.9 d), milestone on 2026-08-23",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.012878+00
512,512,ONE,MAEU3447506,2026-09-01,2026-10-13,2026-10-14,MEDIUM,"P80 of 31 shipments VNSGN→FC-JAX from DEPARTED_ORIGIN: 42.9 d (P50 37.1 d), milestone on 2026-09-01",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.02891+00
513,513,Evergreen,MAEU8083648,2026-09-10,2026-10-10,2026-10-09,MEDIUM,"P80 of 47 shipments CNSHA→FC-CAL from DEPARTED_ORIGIN: 28.0 d (P50 24.9 d), milestone on 2026-09-10",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.04279+00
514,514,Evergreen,MAEU4224634,2026-08-28,2026-09-27,2026-09-26,MEDIUM,"P80 of 47 shipments CNSHA→FC-CAL from DEPARTED_ORIGIN: 28.0 d (P50 24.9 d), milestone on 2026-08-28",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.053206+00
515,515,CMA CGM,MAEU4517254,2026-09-03,2026-10-15,2026-10-16,MEDIUM,"P80 of 31 shipments VNSGN→FC-JAX from DEPARTED_ORIGIN: 42.9 d (P50 37.1 d), milestone on 2026-09-03",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.066809+00
516,516,CMA CGM,MAEU3539053,2026-08-30,2026-10-08,2026-10-10,MEDIUM,"P80 of 51 shipments CNSHA→FC-JAX from DEPARTED_ORIGIN: 40.1 d (P50 35.9 d), milestone on 2026-08-30",DEPARTED_ORIGIN,2,2026-09-10 09:23:26.083515+00
